title,year,runtime,genres,rating,metascore,votes,gross,genres_list,main_genre
Once Upon a Time in the West,1968.0,165,Western,8.5,80.0,302844,5321508.0,['Western'],Western
Psycho,1960.0,109,"Horror, Mystery, Thriller",8.5,97.0,604211,32000000.0,"['Horror', 'Mystery', 'Thriller']",Horror
Casablanca,1942.0,102,"Drama, Romance, War",8.5,100.0,522093,1024560.0,"['Drama', 'Romance', 'War']",Drama
Modern Times,1936.0,87,"Comedy, Drama, Family",8.5,96.0,217881,163245.0,"['Comedy', 'Drama', 'Family']",Comedy
City Lights,1931.0,87,"Comedy, Drama, Romance",8.5,99.0,167839,19181.0,"['Comedy', 'Drama', 'Romance']",Comedy
Capharnaüm,2018.0,126,Drama,8.4,75.0,62635,1661096.0,['Drama'],Drama
Ayla: The Daughter of War,2017.0,125,"Biography, Drama, History",8.4,79.0,34112,23530892.0,"['Biography', 'Drama', 'History']",Biography
Vikram Vedha,2017.0,147,"Action, Crime, Drama",8.4,79.0,28401,23530892.0,"['Action', 'Crime', 'Drama']",Action
Kimi no na wa.,2016.0,106,"Animation, Drama, Fantasy",8.4,79.0,194838,5017246.0,"['Animation', 'Drama', 'Fantasy']",Animation
Dangal,2016.0,161,"Action, Biography, Drama",8.4,79.0,156479,12391761.0,"['Action', 'Biography', 'Drama']",Action
Spider-Man: Into the Spider-Verse,2018.0,117,"Animation, Action, Adventure",8.4,87.0,375110,190241310.0,"['Animation', 'Action', 'Adventure']",Animation
Avengers: Endgame,2019.0,181,"Action, Adventure, Drama",8.4,78.0,809955,858373000.0,"['Action', 'Adventure', 'Drama']",Action
Avengers: Infinity War,2018.0,149,"Action, Adventure, Sci-Fi",8.4,68.0,834477,678815482.0,"['Action', 'Adventure', 'Sci-Fi']",Action
Coco,2017.0,105,"Animation, Adventure, Family",8.4,81.0,384171,209726015.0,"['Animation', 'Adventure', 'Family']",Animation
Django Unchained,2012.0,165,"Drama, Western",8.4,81.0,1357682,162805434.0,"['Drama', 'Western']",Drama
The Dark Knight Rises,2012.0,164,"Action, Adventure",8.4,78.0,1516346,448139099.0,"['Action', 'Adventure']",Action
3 Idiots,2009.0,170,"Comedy, Drama",8.4,67.0,344445,6532908.0,"['Comedy', 'Drama']",Comedy
Taare Zameen Par,2007.0,165,"Drama, Family",8.4,79.0,168895,1223869.0,"['Drama', 'Family']",Drama
WALL·E,2008.0,98,"Animation, Adventure, Family",8.4,95.0,999790,223808164.0,"['Animation', 'Adventure', 'Family']",Animation
The Lives of Others,2006.0,137,"Drama, Mystery, Thriller",8.4,89.0,358685,11286112.0,"['Drama', 'Mystery', 'Thriller']",Drama
Oldeuboi,2003.0,101,"Action, Drama, Mystery",8.4,77.0,515451,707481.0,"['Action', 'Drama', 'Mystery']",Action
Memento,2000.0,113,"Mystery, Thriller",8.4,80.0,1125712,25544867.0,"['Mystery', 'Thriller']",Mystery
Mononoke-hime,1997.0,134,"Animation, Action, Adventure",8.4,76.0,343171,2375308.0,"['Animation', 'Action', 'Adventure']",Animation
Once Upon a Time in America,1984.0,229,"Crime, Drama",8.4,79.0,311365,5321508.0,"['Crime', 'Drama']",Crime
Raiders of the Lost Ark,1981.0,115,"Action, Adventure",8.4,85.0,884112,248159971.0,"['Action', 'Adventure']",Action
The Shining,1980.0,146,"Drama, Horror",8.4,66.0,898237,44017374.0,"['Drama', 'Horror']",Drama
Apocalypse Now,1979.0,147,"Drama, Mystery, War",8.4,94.0,606398,83471511.0,"['Drama', 'Mystery', 'War']",Drama
Alien,1979.0,117,"Horror, Sci-Fi",8.4,89.0,787806,78900000.0,"['Horror', 'Sci-Fi']",Horror
Anand,1971.0,122,"Drama, Musical",8.4,79.0,30273,23530892.0,"['Drama', 'Musical']",Drama
